Ashkan Mokhtarian|13|3|0|"5' 6"""|125 lbs.|"67"""|Southpaw|Sep 15, 1985|1.95|43%|3.66|43%|0.54|16%|33%|0.0
Muhammad Mokaev|6|0|0|"5' 9"""|135 lbs.|No Stat|No Stat|Jul 30, 2000|0.00|0%|0.00|0%|0.00|0%|0%|0.0
Bronson Mohika|1|1|0|No Stat|135 lbs.|No Stat|No Stat|No Stat|0.00|0%|0.00|0%|0.00|0%|0%|0.0
Thiago Moises|15|6|0|"5' 9"""|155 lbs.|"70"""|Orthodox|Mar 23, 1995|2.52|37%|4.12|56%|1.00|35%|60%|1.1
Renato Moicano|15|4|1|"5' 11"""|155 lbs.|"72"""|Orthodox|May 21, 1989|5.12|47%|3.43|65%|1.96|60%|78%|0.7
Nate Mohr|9|7|0|"5' 9"""|155 lbs.|"72"""|Orthodox|Mar 03, 1983|3.79|41%|2.50|74%|0.45|50%|71%|0.0
Bobby Moffett|13|5|0|"5' 10"""|145 lbs.|"73"""|Orthodox|Jun 01, 1990|3.41|39%|3.15|61%|2.74|66%|66%|1.4
Roxanne Modafferi|25|20|0|"5' 7"""|125 lbs.|"69"""|Orthodox|Sep 24, 1982|2.97|30%|4.92|53%|1.30|21%|25%|0.1
Takeya Mizugaki|21|11|2|"5' 7"""|135 lbs.|"69"""|Orthodox|Dec 16, 1983|3.37|37%|3.27|57%|1.46|57%|70%|0.1
Tatsuya Mizuno|16|12|1|"6' 1"""|205 lbs.|No Stat|Southpaw|Jun 02, 1981|2.25|37%|3.52|53%|1.19|25%|40%|3.6
Kazuyuki Miyata|15|9|0|"5' 8"""|139 lbs.|No Stat|Orthodox|No Stat|2.04|52%|1.82|63%|4.31|46%|68%|0.0
Motoki Miyazawa|7|3|0|"5' 11"""|168 lbs.|No Stat|Southpaw|No Stat|1.23|28%|3.91|61%|0.00|0%|0%|0.0
Tomoya Miyashita|17|9|7|"5' 7"""|139 lbs.|No Stat|Southpaw|No Stat|1.67|65%|0.93|33%|4.00|80%|0%|2.0
Jonathan Mix|7|4|0|"6' 0"""|168 lbs.|No Stat|No Stat|Nov 09, 1980|0.00|0%|0.00|0%|0.00|0%|0%|0.0
Hiromitsu Miura|12|7|0|"5' 9"""|170 lbs.|"71"""|Orthodox|Sep 22, 1981|2.12|34%|2.12|58%|2.23|50%|69%|0.6
Roman Mitichyan|8|3|0|"5' 10"""|170 lbs.|No Stat|Orthodox|Sep 04, 1978|0.26|16%|2.70|43%|1.93|100%|25%|1.9
Eiji Mitsuoka|18|9|2|"5' 7"""|145 lbs.|No Stat|Southpaw|Jan 01, 1976|1.49|49%|2.26|45%|2.30|36%|20%|1.6
Matt Mitrione|12|5|0|"6' 3"""|265 lbs.|"82"""|Switch|Jul 15, 1978|3.55|50%|2.79|64%|0.00|0%|55%|0.7
Maurice Mitchell|11|2|0|"5' 9"""|145 lbs.|No Stat|Orthodox|Jun 29, 1987|3.80|55%|3.54|60%|0.00|0%|100%|0.0
Danny Mitchell|19|9|1|"6' 2"""|170 lbs.|No Stat|Orthodox|Aug 08, 1986|2.53|49%|2.53|52%|0.00|0%|100%|3.0
Bryce Mitchell|14|1|0|"5' 10"""|145 lbs.|"70"""|Southpaw|Oct 04, 1994|2.29|61%|1.46|60%|3.26|46%|33%|2.3
Brad Mitchell|4|2|0|"5' 11"""|145 lbs.|No Stat|No Stat|Oct 10, 1974|1.15|33%|4.20|52%|0.00|0%|100%|1.9
Clay Mitchell|1|2|0|"6' 2"""|185 lbs.|No Stat|No Stat|No Stat|1.63|85%|0.00|0%|0.00|0%|100%|4.1
David Mitchell|22|7|0|"6' 0"""|170 lbs.|"75"""|Orthodox|Oct 24, 1979|1.74|32%|2.06|55%|0.66|50%|29%|2.0
Dokonjonosuke Mishima|21|7|2|"5' 7"""|155 lbs.|No Stat|Southpaw|Apr 19, 1972|1.06|41%|1.22|52%|2.47|40%|25%|1.4
Toby Misech|9|5|0|"5' 8"""|145 lbs.|No Stat|Southpaw|Mar 07, 1988|3.27|40%|7.73|46%|0.00|0%|0%|0.0
