Fight_ID|Fight_Date|Gender|Weight_Class|Title_Fight|Result|Method|Round|Time|Fight_Time_Format|Fighter_1_Name|Fighter_1_Nickname|Fighter_1_Age|Fighter_1_Wins|Fighter_1_Loses|Fighter_1_Draws|Fighter_1_Avg_Time(MINS)|Fighter_1_Height|Fighter_1_Reach|Fighter_1_Stance|Fighter_1_Sign_SLpMin|Fighter_1_Str_Acc|Fighter_1_Sign_SApMin|Fighter_1_Defense|Fighter_1_Takedown_Avgp15M|Fighter_1_Takedown_Acc|Fighter_1_Takedown_Def|Fighter_1_Sub_Avgp15M|Fighter_2_Name|Fighter_2_Nickname|Fighter_2_Age|Fighter_2_Wins|Fighter_2_Loses|Fighter_2_Draws|Fighter_2_Avg_Time(MINS)|Fighter_2_Height|Fighter_2_Reach|Fighter_2_Stance|Fighter_2_Sign_SLpMin|Fighter_2_Str_Acc|Fighter_2_Sign_SApMin|Fighter_2_Defense|Fighter_2_Takedown_Avgp15M|Fighter_2_Takedown_Acc|Fighter_2_Takedown_Def|Fighter_2_Sub_Avgp15M
37|2000-06-09|male|middleweight|False|win| DQ |2|0:43|3Rnd(5-5-5)|Amaury Bitetti|No_Nick||4|2|0|5.716666666666667|"5' 9"""||Orthodox|1.0495626822157433|60.0|2.0991253644314867|55.55555555555556|0.0|0.0|100.0|0.0|Alex Andrade|El Toro|26.0|10|4|0|5.716666666666667|"5' 11"""||Orthodox|2.0991253644314867|44.44444444444444|1.0495626822157433|40.0|0.0|0.0|0.0|0.0
38|2000-09-22|male|welterweight|False|win| Submission |1|1:10|3Rnd(5-5-5)|Fabiano Iha|No_Nick|30.0|6|3|0|15.0|"5' 8"""||Orthodox|0.5333333333333333|0.36363636363636365|2.466666666666667|62.62626262626263|1.0|0.08333333333333333|0.0|0.0|Laverne Clark|No_Nickname|27.0|27|20|1|15.0|"5' 11"""||Orthodox|0.8666666666666667|0.28888888888888886|0.06666666666666667|75.0|0.0|0.0|72.72727272727273|0.0
39|2000-09-22|male|heavyweight|False|win| KO/TKO |1|1:33|3Rnd(5-5-5)|Pedro Rizzo|The Rock|26.0|15|7|0|18.141666666666666|"6' 1"""||Orthodox|0.7165824529168581|0.25|0.8543867707854846|63.52941176470588|0.0|0.0|71.42857142857143|0.0|Dan Severn|The Beast|42.0|101|18|1|1.55|"6' 2"""||Southpaw|0.0|0.0|1.2903225806451613|71.42857142857143|0.0|0.0|0.0|0.0
40|2000-09-22|male|middleweight|False|win| KO/TKO |3|2:28|3Rnd(5-5-5)|Yuki Kondo|No_Nick|25.0|59|31|9|12.466666666666667|"5' 11"""||Southpaw|2.6470588235294117|61.111111111111114|1.1229946524064172|67.44186046511628|0.0|0.0|75.0|0.0|Alexandre Dantas|Cafe|21.0|0|1|0|12.466666666666667|"6' 2"""||Orthodox|1.1229946524064172|32.55813953488372|2.6470588235294117|38.888888888888886|2.406417112299465|25.0|0.0|0.0
41|2000-09-22|male|heavyweight|False|win| Decision - Split |3|5:00|3Rnd(5-5-5)|Maurice Smith|No_Nick|39.0|11|13|0|5.0|"6' 2"""||Orthodox|0.8|1.0|0.2|0.0|0.0|0.0|0.0|0.0|Bobby Hoffman|The Truth|32.0|36|8|1|15.0|"6' 2"""||Orthodox|0.6666666666666666|22.727272727272727|2.8666666666666667|21.818181818181813|4.0|100.0|0.0|0.0
42|2000-09-22|male|middleweight|False|win| Submission |1|4:32|3Rnd(5-5-5)|Jeremy Horn|Gumby|25.0|88|17|5|3.408333333333333|"6' 1"""|"74"""|Orthodox|5.574572127139365|0.6031746031746031|0.1466992665036675|95.23809523809523|0.0|0.0|50.0|2.2004889975550124|Eugene Jackson|The Wolf|34.0|14|6|1|8.049999999999999|"5' 8"""||Orthodox|1.9461697722567288|0.30128205128205127|1.3664596273291927|67.0|0.0|0.0|60.0|1.2422360248447206
43|2000-09-22|male|heavyweight|False|win| Decision - Unanimous |3|5:00|3Rnd(5-5-5)|Ian Freeman|The Machine|34.0|18|6|0|15.0|"5' 11"""||Orthodox|2.0|49.18032786885246|1.6666666666666667|13.793103448275868|0.0|0.0|90.0|0.0|Tedd Williams|No_Nickname|31.0|7|0|0|3.3833333333333333|"6' 1"""||Orthodox|2.6600985221674875|0.47368421052631576|4.137931034482759|48.14814814814815|0.0|0.0|100.0|0.0
44|2000-11-17|male|lightweight|False|win| KO/TKO |1|0:15|3Rnd(5-5-5)|Jens Pulver|Little Evil|26.0|23|17|1|11.341666666666667|"5' 7"""|"70"""|Southpaw|2.556943423952976|0.3036649214659686|1.1021307861866274|73.95833333333333|1.9838354151359296|1.0|94.44444444444444|1.322556943423953|John Lewis|No_Nickname||3|3|3|10.216666666666667|"6' 0"""||Southpaw|1.9575856443719413|0.32786885245901637|0.8809135399673735|72.72727272727273|1.468189233278956|1.0|100.0|0.0
45|2000-11-17|male|heavyweight|True|win| KO/TKO |3|4:13|5Rnd(5-5-5-5-5)|Randy Couture|The Natural|37.0|7|3|0|14.216666666666667|"6' 1"""|"75"""|Orthodox|1.969519343493552|68.29268292682927|1.0550996483001172|21.052631578947366|1.0550996483001172|100.0|0.0|1.0550996483001172|Kevin Randleman|The Monster|29.0|16|14|0|25.0|"5' 10"""||Orthodox|0.54|0.28421052631578947|0.4|74.35897435897436|2.4|0.5333333333333333|0.0|1.2
46|2000-11-17|male|heavyweight|False|win| Submission |1|0:55|3Rnd(5-5-5)|Andrei Arlovski|The Pitbull|21.0|11|6|0|0.9166666666666666|"6' 3"""|"77"""|Orthodox|2.181818181818182|50.0|0.0|100.0|16.363636363636363|100.0|100.0|32.72727272727273|Aaron Brink|No_Nickname|26.0|26|25|0|0.9166666666666666|"6' 3"""||Orthodox|0.0|0.0|2.181818181818182|50.0|0.0|0.0|0.0|0.0
